Region,Sales,Revenue,Month,Year,Advertising_Expenditure,Product_Category,Marketing_Campaign
West,1239,4805,June,2022,3213.6195554605733,Category_2,Before
West,1873,4374,March,2023,2446.132359336001,Category_2,After
North,682,4234,April,2022,2679.103216461752,Category_3,Before
East,612,1018,November,2022,3565.856518244624,Category_2,Before
East,1706,4441,August,2022,2560.3623576527934,Category_1,Before
West,980,3311,March,2023,9070.888821637825,Category_2,Before
South,1669,3841,October,2022,1722.10371095478,Category_2,Before
East,1330,1112,June,2023,5720.602506132292,Category_2,After
East,1636,4559,January,2022,4693.571442906954,Category_3,After
North,1262,4398,July,2022,9841.407552177458,Category_1,After
North,975,1541,August,2023,2008.350119512471,Category_2,After
South,1262,3694,November,2022,4580.700391411675,Category_3,Before
East,1826,1578,August,2022,9725.23389947832,Category_2,After
East,1470,2088,March,2023,8789.564133045822,Category_1,Before
North,1519,4363,October,2022,8353.64863854352,Category_2,After
East,1641,1024,January,2023,3321.1254434044586,Category_1,After
West,660,2572,September,2023,2537.9882865105924,Category_2,After
North,900,3048,June,2023,7017.788979319879,Category_1,After
South,697,3958,November,2023,9364.383902148273,Category_2,Before
North,1783,2572,September,2023,6010.866037125368,Category_1,After
East,1159,1140,July,2022,6144.5142052290985,Category_2,After
South,1570,2767,January,2022,3519.8118429425576,Category_2,Before
North,898,1647,December,2022,7925.436398727432,Category_3,Before
West,577,4972,December,2023,2683.39373701771,Category_3,After
West,623,3235,January,2023,3913.113127638193,Category_1,Before
North,574,4199,June,2023,4828.927947547751,Category_2,Before
West,636,1200,May,2023,5568.493408160095,Category_1,Before
West,1101,4198,September,2022,3181.687591735722,Category_3,After
West,1923,1256,February,2022,2033.531422652832,Category_1,Before
South,1336,4747,August,2023,6495.580381974693,Category_1,After
West,999,1546,November,2023,3597.674979162302,Category_3,After
West,637,3241,May,2022,6231.143992803511,Category_2,After
West,549,3750,February,2023,2389.2644374678207,Category_1,After
South,1472,4175,October,2023,5330.260916693357,Category_3,Before
North,753,4606,November,2023,5793.304892964273,Category_2,After
East,1209,4336,November,2022,1466.4118314018422,Category_3,Before
West,1062,1801,December,2022,4029.4385037452853,Category_1,After
North,1256,1941,June,2023,2209.7320924507685,Category_2,Before
West,1949,4455,October,2022,1570.3747342549098,Category_2,After
South,1046,4331,August,2023,9909.642091509508,Category_3,Before
North,1825,1413,April,2023,3901.1846047725066,Category_3,After
South,1421,3014,February,2022,8288.870012691714,Category_3,After
West,1080,2381,December,2023,3291.7658928738747,Category_2,Before
West,1872,2098,November,2023,7133.524500015364,Category_2,After
South,548,4426,May,2022,7842.050739007179,Category_1,After
East,1416,4655,December,2023,6360.748665470598,Category_2,After
South,1597,4842,February,2023,5244.185696951426,Category_1,Before
West,1203,1909,February,2023,4706.568227325417,Category_3,After
South,760,1187,June,2022,4139.814398886958,Category_3,After
East,855,4756,November,2023,9365.762298230433,Category_2,Before
South,1783,3015,October,2022,8475.574670089562,Category_3,Before
East,1137,2313,September,2023,9685.242195998613,Category_3,Before
East,1242,3092,April,2023,2118.6750113699027,Category_2,Before
South,1818,4644,June,2023,7577.807276832798,Category_1,Before
South,1509,3130,July,2023,9445.06411138934,Category_2,After
North,1430,2146,November,2022,2631.0975954909413,Category_1,After
West,1140,1357,June,2022,1598.4664063009975,Category_2,After
East,1291,2551,August,2023,7670.085843610532,Category_2,Before
North,1836,2089,April,2023,6170.258018619207,Category_3,After
South,1111,3983,December,2023,8576.458990824449,Category_2,Before
West,1308,2680,January,2023,2257.951389636605,Category_2,Before
North,1705,3422,July,2023,8157.4058067390115,Category_1,After
East,1185,1161,March,2023,2814.645880429701,Category_3,Before
North,1887,4817,June,2023,2472.9034857913402,Category_1,Before
East,687,4451,February,2023,2478.3921813789366,Category_1,After
South,1484,4727,September,2022,8331.172482082438,Category_3,Before
West,1047,4429,January,2022,6986.774986265801,Category_3,Before
West,1224,4259,June,2022,5707.588822922074,Category_3,After
West,1425,3369,June,2023,4229.474357111522,Category_2,Before
South,1931,1449,May,2023,8894.804867317975,Category_3,Before
East,1375,2497,May,2023,4532.005966803718,Category_3,After
South,1117,2036,January,2022,8349.394955244194,Category_3,After
West,913,3231,October,2023,4952.214177131966,Category_1,After
South,1865,3158,December,2022,4392.499864824168,Category_1,After
South,1743,2950,May,2023,5164.118071026458,Category_2,Before
South,1402,3555,February,2022,3712.4008674772786,Category_1,Before
East,662,2313,July,2022,7728.48442158626,Category_2,After
North,1743,3342,March,2022,5524.483510832312,Category_1,Before
North,769,4522,April,2023,3089.914256321356,Category_3,Before
South,1131,3951,March,2022,9096.171159471116,Category_1,After
North,1405,2238,March,2023,4455.020992358903,Category_2,After
North,1923,1973,April,2023,5891.9757500258975,Category_1,Before
South,1705,1631,May,2023,9158.248998680923,Category_3,After
South,704,4965,January,2023,6618.1419632259285,Category_2,After
West,1081,2590,April,2023,2052.0823663752767,Category_3,After
North,1340,2050,December,2022,9458.489112521276,Category_3,Before
East,1751,4701,December,2023,6649.372477642761,Category_2,After
South,1095,3780,November,2023,4014.150531913775,Category_3,Before
West,749,4302,August,2023,2253.4486539704853,Category_3,Before
East,1374,2588,October,2023,8146.226703432664,Category_1,Before
North,1964,4878,July,2023,6580.654803356621,Category_3,After
West,695,3368,September,2022,5801.149827786894,Category_3,After
South,1189,3960,May,2022,9045.033247458618,Category_3,After
East,1593,4304,October,2023,8097.374901020777,Category_3,After
South,1138,2693,April,2022,2365.0739175947606,Category_2,After
North,1922,1436,August,2022,3805.4986101599343,Category_1,Before
East,1171,3828,September,2023,3236.4022583301917,Category_3,Before
North,1726,2556,July,2022,7695.516633154093,Category_3,Before
North,1671,4474,July,2023,1301.7919126220145,Category_2,After
West,1995,2076,May,2022,6129.0071638418485,Category_3,Before
South,1443,4858,April,2022,7862.128171666215,Category_2,Before
East,698,4384,October,2022,8890.890730855746,Category_1,After
North,1949,2304,January,2023,4078.735738443167,Category_1,After
North,991,3773,October,2022,8391.315742048115,Category_3,Before
East,1395,3078,October,2022,1995.6856325968652,Category_3,Before
North,641,3384,July,2023,8618.070625610664,Category_3,After
West,1836,1182,January,2023,2147.3979609878415,Category_2,After
West,664,4094,January,2022,4575.585615043306,Category_3,After
West,813,3591,May,2023,8175.658292015983,Category_3,After
West,520,2469,September,2022,2349.2568461389637,Category_1,Before
North,1605,4145,June,2022,3063.2625570937735,Category_3,Before
East,1654,4081,March,2023,7500.273115537597,Category_1,After
East,1483,4555,March,2023,7480.328828914669,Category_3,Before
East,804,2479,July,2023,6770.328695967676,Category_1,Before
East,870,2589,June,2022,7245.536000203901,Category_3,After
South,1352,2587,September,2023,5884.519990128366,Category_1,Before
East,883,1659,June,2022,3266.191530162575,Category_2,Before
South,944,1159,May,2023,4111.263941535275,Category_1,Before
South,924,4953,October,2022,2634.379451212831,Category_1,After
West,660,4085,July,2023,9176.055052002655,Category_1,After
South,1701,4249,January,2022,6250.526152895084,Category_3,Before
North,1128,3459,December,2023,4607.662750872759,Category_3,After
South,1394,4949,July,2022,5158.052232797194,Category_3,After
West,989,2011,March,2023,9525.550056506338,Category_2,After
South,1516,1052,September,2023,2380.1626280447217,Category_2,Before
North,826,3455,June,2022,6276.068488151175,Category_1,Before
North,1097,3894,September,2023,5552.998109960194,Category_2,After
North,1514,2045,May,2022,6503.088118911831,Category_1,Before
West,788,2053,July,2022,1162.9916543875645,Category_1,Before
West,1092,3750,April,2023,8849.115180497363,Category_1,Before
East,1072,3307,July,2022,9389.064542352511,Category_2,Before
West,1877,2228,January,2023,6086.198652302881,Category_3,Before
North,527,4130,July,2023,7269.857414892031,Category_2,After
North,1453,2494,August,2022,9302.494430595661,Category_1,Before
West,542,3823,May,2023,7365.1477088205875,Category_1,Before
South,922,2489,February,2022,2372.851386228352,Category_2,Before
West,676,2035,May,2022,6186.595241501319,Category_1,After
West,1028,4702,June,2023,6460.435417445703,Category_1,After
North,1465,2950,December,2023,4817.176041721474,Category_2,After
East,697,4361,February,2022,7627.998120622506,Category_2,Before
North,1109,1849,June,2022,9409.303132921134,Category_2,After
East,1341,4831,June,2023,9330.116616160987,Category_1,After
North,1352,1353,January,2023,5057.55434263719,Category_1,After
West,521,4710,January,2023,2019.1424125667972,Category_3,After
North,1635,2098,November,2023,9863.570790661011,Category_3,Before
North,1580,3920,October,2022,8550.082778013406,Category_2,After
North,1589,2739,March,2023,2121.9641308294017,Category_3,After
West,1341,4632,October,2022,9287.57694355635,Category_1,Before
West,597,4662,October,2022,8829.067258559155,Category_3,Before
West,1667,2464,December,2023,5669.542514134649,Category_1,After
West,934,1990,March,2022,6321.4789217043635,Category_2,Before
East,1136,2264,April,2023,4591.024334831172,Category_2,After
East,1609,4065,February,2022,1492.854749398282,Category_1,Before
South,1087,2884,September,2023,4016.775174813108,Category_3,Before
West,843,4225,October,2022,8225.681037382103,Category_2,After
East,1817,2809,December,2022,1041.6882070414258,Category_2,Before
North,1070,4167,November,2023,4001.4925452202974,Category_3,After
West,1110,4797,July,2023,4583.51824231849,Category_3,Before
South,742,3341,July,2022,5836.560426441306,Category_1,After
South,1060,3256,June,2022,9278.700547714845,Category_3,Before
South,1459,4414,March,2023,4117.113949293651,Category_3,Before
North,531,2111,June,2022,4122.578817066049,Category_3,Before
East,890,1817,December,2023,7637.511232987736,Category_1,Before
North,776,2799,August,2022,5069.961468008265,Category_1,Before
West,1031,2960,August,2023,3021.4434064598377,Category_2,After
South,1677,3437,November,2022,5071.955645194241,Category_1,Before
North,882,3372,September,2023,2267.7131834181987,Category_2,After
North,1591,3987,January,2023,2587.48287855601,Category_3,After
East,1383,1888,January,2022,5485.309954655318,Category_2,After
East,713,2855,March,2023,4770.3290455409315,Category_2,Before
South,875,2180,March,2022,9233.613109612901,Category_3,After
North,1243,1667,October,2023,4261.545092049698,Category_2,Before
North,712,4722,August,2023,6225.295152502391,Category_1,After
East,578,1632,October,2023,6690.378591275773,Category_1,After
North,1127,3624,January,2022,1117.8501092950028,Category_1,After
North,1103,2642,February,2023,6971.836348150396,Category_1,After
North,1281,4730,February,2022,2602.3237018277628,Category_2,After
East,1904,1136,March,2023,9649.632857225097,Category_2,Before
South,1500,2946,June,2022,2337.9645497780166,Category_3,After
West,1179,2697,January,2022,4731.617113543214,Category_2,After
South,557,1427,February,2022,1768.1470127077946,Category_2,Before
West,1549,2475,January,2023,9971.868266613526,Category_2,Before
North,1380,3659,May,2022,5519.755092981183,Category_3,Before
South,946,4921,July,2023,6358.465155880394,Category_1,After
West,565,3958,August,2022,1603.6882964958472,Category_2,After
East,1777,1818,October,2022,7749.6442335926,Category_3,After
East,1567,3188,January,2022,2889.150337860272,Category_3,After
South,1620,2106,July,2022,9082.488604966424,Category_3,After
South,1511,3224,May,2023,2846.2567643380644,Category_1,After
North,726,1197,October,2022,2716.189485972999,Category_2,Before
South,1273,3671,January,2022,1328.947010632854,Category_3,Before
North,1178,4639,March,2023,5248.602505989993,Category_1,After
North,1959,2995,July,2022,6083.5701993635475,Category_3,After
East,1100,3738,October,2022,1591.3777548551711,Category_3,After
East,878,4492,January,2022,7979.748550255095,Category_3,After
West,1701,3448,July,2022,5079.5995127322485,Category_3,After
East,1950,4769,May,2023,5719.51242394822,Category_3,Before
East,1208,1470,January,2023,4966.864722444054,Category_1,Before
South,806,3265,January,2022,4606.867547877933,Category_2,After
East,1278,2948,January,2023,6036.762981773961,Category_2,Before
West,1003,1928,November,2023,2397.1622133764126,Category_2,After
South,767,4899,September,2022,2637.35317445744,Category_2,After
West,507,3010,November,2023,8756.070589121657,Category_1,After
East,1007,4800,March,2022,9515.039159202695,Category_1,Before
West,975,3679,May,2023,4359.7838465177765,Category_1,Before
South,1820,3998,November,2023,3436.702058291984,Category_3,After
North,663,1905,October,2023,6795.9958891511415,Category_3,Before
West,984,3222,December,2022,4678.607539882867,Category_3,Before
West,1595,1022,September,2023,1228.4772009431038,Category_2,After
South,1066,4796,June,2022,2405.3733762957136,Category_3,Before
South,1404,4988,December,2022,7443.750059626578,Category_2,Before
West,1058,1234,September,2023,6930.315477191362,Category_3,After
East,737,4084,August,2022,1243.8639325313513,Category_2,After
West,1627,2124,August,2023,2997.749457396545,Category_3,Before
South,1733,1928,January,2022,3079.6731692926423,Category_3,After
North,1053,4607,September,2022,7047.034692388555,Category_1,Before
North,1327,4947,June,2023,1177.3948397892773,Category_3,After
East,967,1522,September,2023,1936.9772378611647,Category_3,After
West,1977,2808,March,2023,8199.244768358705,Category_1,After
North,1791,4523,December,2023,2606.9019584890025,Category_2,After
West,885,1430,March,2022,6874.714970666872,Category_1,Before
South,1274,1792,June,2022,3143.645029420539,Category_1,After
North,1347,2629,September,2022,1894.9725348341065,Category_2,After
East,886,2736,July,2023,3188.5497189950866,Category_3,After
South,1376,1532,March,2022,7500.402386700933,Category_2,Before
East,758,4923,March,2023,8701.268212956573,Category_3,Before
South,782,4026,February,2022,8471.978781102924,Category_3,After
North,539,2746,September,2023,4574.651766566094,Category_2,After
East,985,2675,March,2022,7012.766229135816,Category_1,After
East,1428,2316,November,2022,2844.858658742389,Category_2,After
South,719,3857,May,2023,3638.329572349119,Category_3,After
East,1652,1912,September,2022,9067.022366690078,Category_2,After
South,1514,2124,August,2023,1117.0173115966243,Category_2,Before
South,1523,2525,February,2022,1769.5767776902126,Category_3,After
South,1112,2327,March,2022,2870.9762963142457,Category_1,After
South,1427,3918,February,2023,1238.7898348643776,Category_2,After
North,1187,3587,August,2023,2632.918915808176,Category_3,After
South,1112,2023,June,2022,6247.37404872723,Category_3,After
West,759,2576,June,2022,4792.820955332481,Category_2,After
East,1489,2378,December,2022,9034.045399692774,Category_1,Before
West,1465,4374,September,2022,8356.99205564597,Category_2,Before
North,865,2519,August,2022,4076.356165280884,Category_1,Before
West,1043,2681,April,2022,3334.8109008816323,Category_1,Before
East,1148,4839,December,2023,4417.231673505403,Category_1,Before
West,1313,2997,April,2023,6312.654482633269,Category_1,Before
North,1539,1226,September,2023,3412.572767405886,Category_2,After
South,1652,2259,January,2022,6617.340170642206,Category_3,After
West,1074,1872,February,2022,4684.704869721164,Category_3,After
North,1632,1891,February,2022,5968.424627667822,Category_3,After
North,1512,2478,June,2023,4925.13876221785,Category_3,After
East,1169,2036,April,2023,3650.191835877259,Category_3,After
East,768,3257,November,2022,9536.07976265941,Category_3,Before
West,1685,3788,October,2022,7872.452147437847,Category_2,After
South,1783,1396,March,2023,2261.0185818980726,Category_1,Before
North,1423,2123,March,2023,8816.211783081215,Category_3,Before
West,1625,3078,March,2023,5386.880784245623,Category_2,After
North,746,3945,June,2022,9050.970042046822,Category_3,After
North,630,4599,August,2022,8198.697303525838,Category_3,After
South,852,1648,November,2022,4826.921540223101,Category_1,After
South,695,1328,July,2023,1202.2237748810567,Category_1,After
West,1429,4237,April,2023,3418.0962344645145,Category_1,After
South,1905,2482,November,2022,5874.7079319478025,Category_3,After
South,1521,4893,December,2022,6701.303978435325,Category_3,Before
West,1144,1951,April,2023,3320.9891688988205,Category_3,After
South,726,3005,November,2022,2254.204666655417,Category_1,After
East,1200,3016,October,2023,8514.372131193693,Category_2,Before
North,1999,4171,November,2023,9859.619626331969,Category_3,After
North,764,3668,November,2022,5731.211640724173,Category_3,After
North,1895,2878,November,2023,2545.1135726347316,Category_3,Before
North,1957,2196,February,2022,3450.7659386743208,Category_2,After
West,1145,2772,January,2023,1165.5160889272006,Category_3,After
North,710,1161,September,2023,9228.689259044491,Category_2,After
North,1900,4976,December,2022,2059.75974601127,Category_3,After
North,1918,2751,December,2023,6188.648279628282,Category_2,After
North,1973,1775,February,2022,3466.496986184854,Category_3,After
East,1442,4334,August,2022,5987.602022642141,Category_1,Before
North,1887,2827,September,2023,6862.783495166778,Category_1,After
East,956,3321,April,2022,8467.676233364815,Category_1,After
West,1224,4074,August,2022,2857.791445845429,Category_1,Before
South,1749,2051,September,2022,1098.9624579263243,Category_3,Before
North,1481,3373,October,2022,2231.9706706192655,Category_1,After
South,1654,1939,October,2022,9100.167776632945,Category_2,Before
South,1087,4220,May,2022,8865.010698062637,Category_1,After
West,975,1539,July,2023,6376.717919532774,Category_1,After
South,1485,3535,October,2022,6404.65174390288,Category_1,Before
East,1800,1821,April,2023,6985.3300709162995,Category_3,After
South,655,2461,January,2023,2578.3415076110464,Category_1,After
South,1741,2088,March,2022,9229.707513324638,Category_2,Before
South,689,1355,May,2023,4768.934724028658,Category_1,Before
North,1940,4604,March,2023,4448.246754245477,Category_1,Before
North,1480,4323,December,2022,5670.259347545538,Category_1,Before
East,1045,1234,November,2022,1422.6937009754954,Category_2,After
East,540,3274,July,2022,2496.5503188047146,Category_1,Before
North,806,2548,December,2023,7642.302547837334,Category_2,Before
East,1442,4384,September,2023,1745.1880113261382,Category_2,Before
North,837,3096,December,2022,6428.368985197494,Category_1,Before
West,1837,1117,June,2022,3208.1419871318885,Category_2,Before
South,1598,3101,October,2023,4503.660526377789,Category_3,After
South,1452,2673,January,2023,3598.243630936299,Category_1,Before
East,778,3612,July,2023,4201.054448184543,Category_1,After
North,1699,2067,March,2023,7471.413146658209,Category_2,Before
North,1395,4886,May,2022,3674.0954406085752,Category_2,Before
East,772,3100,October,2023,6097.641762672075,Category_1,Before
North,1336,4657,April,2023,5284.453619791897,Category_3,Before
West,1119,1557,October,2023,6973.040488263833,Category_2,Before
South,1361,4596,May,2023,9431.467653922822,Category_2,Before
East,1430,4748,May,2022,7593.148874892253,Category_3,Before
East,788,4173,June,2022,2934.463407316811,Category_3,Before
North,1223,2815,October,2023,1280.648215551562,Category_1,After
East,1392,4841,December,2023,3360.376398698426,Category_3,Before
West,771,3005,October,2022,6355.701376302293,Category_1,After
North,1589,4920,November,2022,1462.832321358253,Category_3,Before
North,982,3915,June,2023,5467.296224811127,Category_2,After
North,1435,1397,August,2023,6371.585640252003,Category_1,Before
North,747,4209,August,2022,4008.1950173526475,Category_1,Before
West,655,1674,November,2022,7938.209833712397,Category_1,Before
North,1570,4992,September,2022,1959.3842782039462,Category_3,After
East,953,1386,August,2022,1676.2400356222788,Category_2,After
West,700,3158,November,2022,7553.6988058324305,Category_1,After
South,623,3661,February,2022,5459.421845855786,Category_1,After
South,500,3064,December,2023,7195.621567849625,Category_1,Before
East,1467,4851,October,2022,4913.446047433716,Category_1,Before
East,1354,4253,December,2022,3217.6182991519613,Category_2,Before
West,1139,1883,November,2022,8371.920859067797,Category_3,After
South,690,4607,January,2022,8194.742910720814,Category_2,Before
South,1015,1540,October,2023,7252.268237689841,Category_1,After
South,941,1170,February,2023,3449.306235069664,Category_2,After
South,642,3456,February,2022,6312.076001821784,Category_1,After
South,1714,1739,December,2023,4248.765072460241,Category_3,After
North,1032,2401,March,2023,1824.2386599397073,Category_3,After
East,726,4259,October,2023,9255.822179160185,Category_3,Before
North,1836,3905,July,2023,2231.3676782706525,Category_1,After
South,1448,3277,February,2023,9552.136184387222,Category_2,After
West,1825,4904,January,2023,5014.051956621602,Category_3,Before
